"endTime","artistName","trackName","msPlayed"
"2024-01-23 15:30","Mister You","La Costa",58381
"2024-01-23 15:30","Niaks","C'est miné",640
"2024-01-23 15:30","Jazeek","Amsterdam",540
"2024-01-23 15:30","Mister You","Le neiman",140
"2024-01-23 15:30","Lacrim","JOHN GOTTI (feat. Baby Gang)",660
"2024-01-23 15:33","Jazeek","Amsterdam",159587
"2024-01-23 15:34","Niaks","C'est miné",34932
"2024-01-23 15:37","Talk Down","Red Wine",185280
"2024-01-23 15:40","Talk Down","Red Wine",185280
"2024-01-23 15:43","Talk Down","Red Wine",185280
"2024-01-23 15:43","Talk Down","Red Wine",24690
"2024-01-23 15:43","Lartiste","00:00",10340
"2024-01-23 15:50","Paloma Mami","Fingías",402530
"2024-01-23 15:59","Paloma Mami","Fingías",460463
"2024-01-23 16:02","Talk Down","Red Wine",185280
"2024-01-23 16:05","Jazeek","Amsterdam",159587
"2024-01-23 16:09","Lacrim","CODE BARRE",241480
"2024-01-23 16:11","Paloma Mami","Fingías",119859
"2024-01-24 07:21","Paloma Mami","Fingías",427813
"2024-01-24 07:24","Paloma Mami","Fingías",225373
"2024-01-24 07:28","Paloma Mami","Fingías",225373
"2024-01-24 07:32","Paloma Mami","Fingías",225373
"2024-01-24 07:36","Paloma Mami","Fingías",225373
"2024-01-24 07:39","Paloma Mami","Fingías",225373
"2024-01-24 07:43","Paloma Mami","Fingías",225373
"2024-01-24 07:47","Paloma Mami","Fingías",225373
"2024-01-24 07:51","Paloma Mami","Fingías",225373
"2024-01-24 07:54","Paloma Mami","Fingías",171360
"2024-01-24 07:57","Talk Down","Red Wine",185280
"2024-01-24 08:00","Talk Down","Red Wine",185280
"2024-01-24 08:03","Talk Down","Red Wine",185280
"2024-01-24 08:35","Talk Down","Red Wine",86370
"2024-01-24 08:35","Inez","Ana Lik",4160
"2024-01-24 08:38","Kerchak","Roule un autre - A COLORS SHOW",176086
"2024-01-24 08:40","Moha K","Besoin de toi",162426
"2024-01-24 08:44","Lacrim","Senor de los Gallos",233466
"2024-01-24 08:47","AriBeatz","J-Lo",161574
"2024-01-24 08:50","Lacrim","JOHN GOTTI (feat. Baby Gang)",174280
"2024-01-24 08:53","Jazeek","Amsterdam",159587
"2024-01-24 08:54","Niaks","C'est miné",7137
"2024-01-24 12:00","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-24 12:02","LOC 079","Fuego",164859
"2024-01-24 12:04","BOJAN","SARAJEVO FREESTYLE",103404
"2024-01-24 12:07","O.G.","Mitten in der Nacht",170024
"2024-01-24 12:09","OG LOCKE","PUM PUM",133346
"2024-01-24 12:11","Albi","CKPU",107878
"2024-01-24 12:13","EREN CAN","Nicht genug",144878
"2024-01-24 12:16","YAKARY","BUBU",156129
"2024-01-24 12:19","BOJAN","BABE",171990
"2024-01-24 12:21","Unterm Radar","Thotiana",108000
"2024-01-24 12:23","LOC 079","Tut schon weh",151278
"2024-01-24 12:26","OG LOCKE","Dope Dealer",156486
"2024-01-24 12:28","EREN CAN","Gegner",125454
"2024-01-24 12:30","CALO","Come closer",136774
"2024-01-24 12:33","YAKARY","capidiss.wav",175457
"2024-01-24 12:36","BOJAN","KREIS",170495
"2024-01-24 12:39","LOC 079","Heimweh",151250
"2024-01-24 12:41","O.G.","Gib ihm",156363
"2024-01-24 12:43","EREN CAN","Kopf bis Fuß",117406
"2024-01-24 12:46","Capital Bra","Was geht",145161
"2024-01-24 12:48","Albi","Zu weit",129280
"2024-01-24 12:50","BOJAN","KALI",142540
"2024-01-24 12:52","LOC 079","My Chérie 2",137999
"2024-01-24 12:55","Ra'is","Verzeih uns",143320
"2024-01-24 12:55","Ra'is","Verzeih uns",880
"2024-01-24 12:55","Pouma","All Night Long",12984
"2024-01-24 12:58","LOC 079","My Chérie 2",137999
"2024-01-24 13:28","Ra'is","Verzeih uns",33490
"2024-01-24 13:28","OG LOCKE","OG",1110
"2024-01-24 13:28","YAKARY","Besiktas",23520
"2024-01-24 13:28","EREN CAN","Was dir fehlt",1260
"2024-01-24 13:28","DANO","Zemer 2",1180
"2024-01-24 13:28","Ra'is","Hass mich lieb mich",1000
"2024-01-24 13:28","Pouma","Lange Her",780
